country,age_bin,pct_both_agree,both_yes,n_valid
br,18-29,24.59016393442623,90,366
br,30–49,31.527093596059114,128,406
br,50+,30.180180180180184,67,222
in,18-29,33.33333333333333,131,393
in,30–49,41.73669467787115,149,357
in,50+,49.31506849315068,108,219
kr,18-29,18.50828729281768,67,362
kr,30–49,17.771084337349397,59,332
kr,50+,23.202614379084967,71,306
ng,18-29,29.57393483709273,118,399
ng,30–49,43.61233480176212,198,454
ng,50+,47.26027397260274,69,146
uk,18-29,19.94535519125683,73,366
uk,30–49,13.651877133105803,40,293
uk,50+,11.538461538461538,39,338
us,18-29,21.584699453551913,79,366
us,30–49,21.0,63,300
us,50+,22.822822822822822,76,333
