country,age_bin,_item,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
br,18-29,A impact my life,5.978260869565218,13.31521739130435,47.01086956521739,24.456521739130434,9.239130434782608
br,18-29,B issues I care about,4.076086956521739,5.706521739130435,34.51086956521739,42.66304347826087,13.043478260869565
br,18-29,C profit over truth,3.523035230352303,8.672086720867208,33.87533875338754,35.50135501355013,18.428184281842817
br,18-29,D written to manipulate,3.804347826086957,13.31521739130435,43.75,27.173913043478258,11.956521739130435
br,18-29,E interested in politics,12.466124661246612,15.718157181571815,36.31436314363143,21.680216802168022,13.821138211382115
br,18-29,F mainstream accurate,9.75609756097561,21.40921409214092,40.37940379403794,22.22222222222222,6.233062330623306
br,18-29,G biased against my views,4.076086956521739,10.597826086956522,53.53260869565217,20.652173913043477,11.141304347826086
br,18-29,H trust mainstream,11.684782608695652,23.91304347826087,38.04347826086957,19.293478260869566,7.065217391304348
br,18-29,I confident fact-check,3.523035230352303,11.653116531165312,31.978319783197833,37.669376693766935,15.176151761517614
br,18-29,J distinguish fact/opinion,3.523035230352303,9.48509485094851,35.50135501355013,38.482384823848236,13.008130081300814
br,18-29,K determine trustworthy,3.2520325203252036,10.569105691056912,31.16531165311653,42.27642276422765,12.737127371273713
br,18-29,L overwhelmed,5.691056910569105,16.53116531165312,36.31436314363143,28.455284552845526,13.008130081300814
br,18-29,M too stressful,5.9620596205962055,14.634146341463413,39.02439024390244,31.16531165311653,9.214092140921409
br,18-29,N excited new ways,4.3478260869565215,8.152173913043478,38.04347826086957,38.58695652173913,10.869565217391305
br,18-29,O excited traditional ways,6.539509536784741,13.079019073569482,44.6866485013624,27.247956403269757,8.446866485013624
br,18-29,P hopeful view,14.713896457765669,26.975476839237057,35.42234332425068,17.43869209809264,5.449591280653951
br,30-49,A impact my life,7.090464547677261,12.71393643031785,40.831295843520785,29.82885085574572,9.535452322738386
br,30-49,B issues I care about,4.411764705882353,6.61764705882353,29.411764705882355,49.50980392156863,10.049019607843137
br,30-49,C profit over truth,4.156479217603912,6.845965770171149,34.71882640586797,36.91931540342298,17.359413202933986
br,30-49,D written to manipulate,7.823960880195599,11.491442542787286,39.60880195599022,30.073349633251834,11.00244498777506
br,30-49,E interested in politics,15.196078431372548,14.215686274509803,34.068627450980394,26.225490196078432,10.294117647058822
br,30-49,F mainstream accurate,7.352941176470589,21.568627450980394,38.970588235294116,26.225490196078432,5.88235294117647
br,30-49,G biased against my views,6.112469437652812,12.224938875305623,42.54278728606357,28.850855745721272,10.268948655256724
br,30-49,H trust mainstream,12.71393643031785,23.4718826405868,36.43031784841076,21.76039119804401,5.623471882640587
br,30-49,I confident fact-check,4.156479217603912,5.8679706601467,33.251833740831295,43.27628361858191,13.447432762836186
br,30-49,J distinguish fact/opinion,5.134474327628362,5.623471882640587,31.54034229828851,42.78728606356968,14.91442542787286
br,30-49,K determine trustworthy,3.4229828850855744,9.7799511002445,34.71882640586797,43.03178484107579,9.04645476772616
br,30-49,L overwhelmed,5.378973105134474,17.114914425427873,35.45232273838631,32.02933985330073,10.024449877750612
br,30-49,M too stressful,6.61764705882353,14.950980392156863,40.19607843137255,27.696078431372552,10.53921568627451
br,30-49,N excited new ways,4.166666666666666,8.57843137254902,36.76470588235294,38.48039215686275,12.009803921568627
br,30-49,O excited traditional ways,5.651105651105651,10.319410319410318,41.52334152334152,32.432432432432435,10.073710073710075
br,30-49,P hopeful view,9.313725490196079,19.607843137254903,37.254901960784316,26.715686274509803,7.107843137254902
br,50+,A impact my life,5.8558558558558556,14.414414414414415,37.38738738738739,30.180180180180184,12.162162162162163
br,50+,B issues I care about,2.2522522522522523,3.153153153153153,27.027027027027028,50.9009009009009,16.666666666666664
br,50+,C profit over truth,3.6036036036036037,8.108108108108109,26.126126126126124,39.189189189189186,22.972972972972975
br,50+,D written to manipulate,5.405405405405405,13.063063063063062,33.33333333333333,35.13513513513514,13.063063063063062
br,50+,E interested in politics,14.414414414414415,10.36036036036036,36.03603603603604,24.324324324324326,14.864864864864865
br,50+,F mainstream accurate,9.90990990990991,28.37837837837838,29.72972972972973,22.972972972972975,9.00900900900901
br,50+,G biased against my views,4.97737556561086,12.669683257918551,50.2262443438914,19.457013574660635,12.669683257918551
br,50+,H trust mainstream,15.837104072398189,24.43438914027149,31.221719457013574,19.457013574660635,9.049773755656108
br,50+,I confident fact-check,3.167420814479638,7.239819004524888,30.316742081447963,42.081447963800905,17.194570135746606
br,50+,J distinguish fact/opinion,2.7149321266968327,7.239819004524888,29.86425339366516,42.53393665158371,17.647058823529413
