country,age_bin,Matters to work,Affects someone you care about,Affects your community,Controversial,Not sure if true,Topic interests you,Recognize creator/publisher,Other,Don't know
br,18-29,18.157181571815716,24.390243902439025,23.577235772357724,15.718157181571815,34.146341463414636,67.20867208672087,18.157181571815716,0.27100271002710025,6.504065040650407
br,30-49,22.249388753056234,22.249388753056234,17.114914425427873,13.202933985330073,32.02933985330073,60.63569682151589,17.6039119804401,0.0,9.290953545232274
br,50+,22.972972972972975,26.576576576576578,18.91891891891892,11.711711711711711,38.288288288288285,64.41441441441441,15.315315315315313,0.9009009009009009,9.45945945945946
in,18-29,36.20253164556962,32.40506329113924,34.68354430379747,32.40506329113924,30.886075949367086,62.53164556962025,30.886075949367086,0.7594936708860759,4.810126582278481
in,30-49,35.47486033519553,33.798882681564244,35.754189944134076,31.843575418994412,34.357541899441344,55.02793296089386,29.05027932960894,1.1173184357541899,8.100558659217876
in,50+,37.89954337899543,38.35616438356164,41.0958904109589,31.963470319634702,36.5296803652968,69.40639269406392,26.48401826484018,0.45662100456621,5.0228310502283104
kr,18-29,20.441988950276244,14.917127071823206,23.480662983425415,31.491712707182316,34.806629834254146,60.773480662983424,9.94475138121547,0.5524861878453038,8.287292817679557
kr,30-49,20.481927710843372,18.97590361445783,23.19277108433735,29.819277108433734,32.831325301204814,62.65060240963856,9.33734939759036,0.6024096385542169,8.433734939759036
kr,50+,14.705882352941178,15.686274509803921,24.836601307189543,34.31372549019608,45.751633986928105,61.43790849673203,6.862745098039216,1.3071895424836601,6.209150326797386
ng,18-29,40.75,35.75,41.25,25.75,31.75,83.75,28.499999999999996,2.25,0.75
ng,30-49,56.6079295154185,43.83259911894273,54.40528634361234,37.00440528634361,34.36123348017621,85.68281938325991,33.92070484581498,0.881057268722467,0.881057268722467
ng,50+,53.42465753424658,45.89041095890411,52.73972602739726,46.57534246575342,32.87671232876712,78.08219178082192,30.136986301369863,0.0,0.0
uk,18-29,31.420765027322407,46.44808743169399,48.90710382513661,40.16393442622951,46.17486338797814,85.51912568306011,20.21857923497268,1.639344262295082,4.644808743169399
uk,30-49,35.374149659863946,48.29931972789115,43.87755102040816,33.6734693877551,39.795918367346935,85.71428571428571,17.006802721088434,1.0204081632653061,3.4013605442176873
uk,50+,17.45562130177515,46.74556213017752,46.15384615384615,26.331360946745562,43.49112426035503,81.95266272189349,16.86390532544379,5.9171597633136095,5.029585798816568
us,18-29,31.967213114754102,42.62295081967213,48.08743169398907,41.80327868852459,43.71584699453552,81.14754098360656,23.497267759562842,1.092896174863388,4.644808743169399
us,30-49,31.666666666666664,50.66666666666667,49.666666666666664,34.0,41.66666666666667,80.33333333333333,17.666666666666668,1.6666666666666667,4.0
us,50+,15.568862275449103,48.20359281437126,49.101796407185624,30.83832335329341,48.20359281437126,82.63473053892216,20.059880239520957,2.3952095808383236,6.287425149700598
