country,age_bin,Delete apps,Turn off notifications,Check news sites less,Change mix in feeds,Unsubscribe newsletters/podcasts,Take a break from device,Talk to friend/colleague,Spend less time scrolling,Other,Don't know
br,18-29,13.008130081300814,30.89430894308943,28.455284552845526,25.745257452574528,6.504065040650407,40.65040650406504,26.01626016260163,40.921409214092144,0.8130081300813009,5.691056910569105
br,30-49,12.71393643031785,27.383863080684595,23.71638141809291,19.315403422982886,7.334963325183375,31.54034229828851,22.982885085574573,34.229828850855746,0.9779951100244498,7.334963325183375
br,50+,18.46846846846847,29.72972972972973,30.630630630630627,13.513513513513514,12.612612612612612,32.432432432432435,22.972972972972975,35.13513513513514,1.3513513513513513,10.36036036036036
in,18-29,18.9873417721519,31.89873417721519,30.37974683544304,35.949367088607595,20.759493670886076,36.20253164556962,31.645569620253166,38.9873417721519,0.0,6.075949367088607
in,30-49,25.41899441340782,25.69832402234637,37.150837988826815,36.03351955307262,22.905027932960895,38.8268156424581,37.988826815642454,37.709497206703915,0.27932960893854747,8.938547486033519
in,50+,16.43835616438356,33.33333333333333,33.789954337899545,24.200913242009133,17.80821917808219,37.89954337899543,41.55251141552511,39.26940639269406,0.91324200913242,9.1324200913242
kr,18-29,11.878453038674033,25.69060773480663,33.70165745856354,14.088397790055248,9.116022099447514,28.45303867403315,24.03314917127072,34.530386740331494,1.3812154696132597,8.011049723756907
kr,30-49,10.240963855421686,24.69879518072289,31.024096385542173,14.156626506024098,10.542168674698797,30.42168674698795,17.16867469879518,37.34939759036144,0.30120481927710846,9.036144578313253
kr,50+,13.071895424836603,24.509803921568626,32.6797385620915,11.11111111111111,9.803921568627452,23.202614379084967,22.54901960784314,46.73202614379085,0.9803921568627451,4.901960784313726
ng,18-29,6.0,27.750000000000004,29.75,36.75,12.0,41.25,40.0,32.25,1.25,1.7500000000000002
ng,30-49,7.268722466960352,31.277533039647576,38.54625550660793,31.718061674008812,14.537444933920703,42.51101321585903,40.308370044052865,36.12334801762114,1.9823788546255507,0.881057268722467
ng,50+,15.068493150684931,31.506849315068493,43.83561643835616,32.87671232876712,22.602739726027394,39.726027397260275,31.506849315068493,35.61643835616438,1.36986301369863,0.684931506849315
uk,18-29,16.939890710382514,34.42622950819672,36.0655737704918,30.327868852459016,26.50273224043716,45.08196721311475,23.224043715846996,52.459016393442624,3.0054644808743167,8.19672131147541
uk,30-49,16.3265306122449,39.795918367346935,36.054421768707485,19.727891156462583,29.25170068027211,42.17687074829932,18.70748299319728,54.08163265306123,2.0408163265306123,7.142857142857142
uk,50+,19.230769230769234,42.89940828402367,36.09467455621302,11.834319526627219,28.106508875739642,34.9112426035503,11.834319526627219,47.0414201183432,3.8461538461538463,8.579881656804734
us,18-29,15.573770491803279,34.15300546448087,30.87431693989071,31.693989071038253,19.398907103825135,51.91256830601093,30.327868852459016,51.91256830601093,1.366120218579235,6.830601092896176
us,30-49,15.333333333333332,36.666666666666664,41.0,24.666666666666668,23.333333333333332,50.33333333333333,24.0,53.333333333333336,3.6666666666666665,8.333333333333332
us,50+,20.958083832335326,36.82634730538922,35.32934131736527,16.766467065868262,26.94610778443114,42.51497005988024,15.568862275449103,46.10778443113773,5.389221556886228,10.479041916167663
